sleep_duration,sleep_quality,physical_activity,stress_level,heart_rate,daily_steps,wellness_trend
6.6,6,67,7,86,9384,Stable
6.5,3,10,3,75,4165,Declining
8.1,5,57,8,83,6853,Stable
6.5,4,47,6,76,4565,Declining
6.9,7,62,5,80,6840,Improving
8.3,6,71,5,81,8362,Improving
6.9,6,61,9,86,7949,Stable
7.1,5,13,5,83,2996,Declining
5.0,7,51,8,83,8512,Declining
8.4,7,53,4,78,7975,Improving
7.4,3,72,8,76,7437,Stable
8.3,8,67,8,73,8664,Improving
5.9,7,42,3,80,5407,Improving
8.3,9,73,6,75,9326,Improving
5.8,6,74,6,87,10998,Stable
4.5,8,111,10,87,11730,Stable
6.5,10,28,6,85,5538,Improving
5.2,7,59,3,76,8609,Improving
7.6,7,34,3,72,5510,Improving
9.0,3,41,6,74,7197,Stable
6.1,7,48,5,76,7313,Stable
6.5,5,45,6,75,6015,Stable
7.1,6,19,6,81,4164,Stable
5.6,6,37,5,79,5588,Declining
7.7,7,44,5,82,6301,Improving
4.5,7,22,7,82,4818,Declining
7.4,9,22,6,87,4836,Improving
7.5,6,52,7,83,7458,Stable
8.3,4,90,7,80,11662,Improving
6.7,7,72,6,72,8870,Improving
6.8,5,16,3,76,5160,Stable
5.4,4,40,7,83,5923,Declining
5.3,6,37,8,90,6070,Declining
7.8,8,74,5,73,8596,Improving
6.7,6,32,3,76,4689,Stable
6.4,9,68,3,69,8956,Improving
6.0,6,49,10,78,7627,Declining
7.1,4,29,9,89,4041,Declining
7.6,5,64,6,78,8781,Improving
6.9,8,46,6,77,6582,Improving
8.7,5,92,5,75,11746,Improving
6.7,4,20,4,75,5160,Declining
6.7,7,42,1,65,8760,Improving
7.3,8,108,6,77,11771,Improving
7.9,6,72,4,75,8547,Improving
4.6,7,82,4,85,10536,Stable
4.5,10,40,6,82,7108,Stable
6.8,3,77,6,72,9523,Stable
5.6,7,50,2,72,7556,Improving
6.9,4,60,7,80,8458,Stable
6.5,4,59,2,69,6694,Improving
5.5,9,48,4,80,8260,Improving
6.9,6,17,8,87,3610,Declining
6.2,3,79,10,91,10238,Declining
5.9,7,62,4,78,8181,Improving
6.0,5,53,8,85,6958,Declining
7.5,5,15,8,80,2383,Declining
7.8,9,36,10,89,5498,Stable
8.5,8,12,4,73,4606,Improving
8.0,8,96,10,83,12152,Improving
6.4,4,55,6,85,6169,Declining
6.9,6,79,5,76,9671,Improving
6.3,8,42,4,75,7952,Improving
5.3,8,50,6,86,6643,Stable
6.5,9,48,7,82,6574,Stable
7.0,2,32,10,84,4515,Declining
8.0,4,41,10,79,6152,Declining
8.3,5,20,7,79,2932,Stable
5.1,4,35,5,79,3913,Declining
4.9,4,24,5,78,4207,Declining
8.3,3,17,7,79,3894,Declining
4.9,7,65,7,83,9680,Declining
6.3,9,26,3,77,6419,Improving
5.3,7,62,9,84,9327,Declining
5.8,10,85,8,82,12139,Improving
6.8,5,43,2,69,6490,Improving
6.4,5,31,4,79,6189,Stable
6.9,5,55,10,89,7350,Declining
5.9,5,44,2,83,6805,Stable
6.0,5,11,5,74,5196,Declining
7.2,8,46,10,86,6140,Stable
6.3,4,68,2,64,7927,Improving
6.3,5,45,7,78,6391,Declining
4.5,4,29,6,83,5271,Declining
8.4,7,74,4,91,5333,Improving
5.5,8,10,5,83,3422,Declining
7.2,4,59,4,72,8620,Improving
8.1,6,65,6,73,9611,Improving
5.8,7,48,7,86,9151,Declining
5.9,6,80,1,79,10082,Improving
7.3,8,24,6,82,5910,Stable
6.9,7,50,7,86,7617,Stable
5.1,6,65,1,78,8672,Improving
6.3,5,36,3,74,5826,Stable
4.5,8,52,6,79,7186,Declining
7.9,8,52,5,74,8812,Improving
5.9,6,72,6,85,10020,Stable
7.9,6,50,7,83,5920,Stable
7.0,8,30,8,88,5187,Stable
7.4,6,42,4,77,6594,Improving
4.5,10,26,6,87,6525,Declining
6.2,6,46,4,78,6788,Stable
6.3,6,26,6,80,4176,Declining
5.6,4,60,3,74,7716,Stable
5.3,9,60,4,82,10996,Improving
6.1,4,96,7,81,9778,Stable
9.0,8,41,3,75,6985,Improving
5.1,4,48,4,74,6744,Declining
6.3,5,49,4,73,6010,Stable
6.4,9,43,4,70,8200,Improving
4.7,6,51,7,80,6907,Declining
5.9,7,18,4,85,5525,Stable
5.0,8,87,4,82,10188,Improving
5.7,6,35,9,80,6099,Declining
5.7,5,26,6,78,5934,Declining
7.6,6,17,5,81,3889,Stable
7.6,5,49,5,78,5754,Improving
8.9,6,34,6,72,6655,Improving
5.3,7,44,3,85,8162,Stable
9.0,3,48,6,77,6136,Stable
5.8,6,32,3,76,6844,Stable
9.0,4,41,5,72,6450,Improving
5.8,9,38,8,87,7566,Stable
6.4,5,63,5,77,8141,Stable
8.1,7,22,5,79,5366,Improving
7.4,5,49,4,76,7385,Improving
7.1,4,11,7,90,2260,Declining
5.9,4,38,10,80,5632,Declining
7.4,6,64,6,79,8287,Improving
7.6,5,72,8,74,9162,Stable
4.6,7,83,5,76,11871,Stable
6.3,6,35,4,77,6200,Stable
6.5,5,28,5,79,4457,Declining
4.7,4,47,5,87,7202,Declining
7.8,2,77,4,72,8698,Improving
5.6,4,34,6,82,8102,Declining
6.8,4,34,2,80,5165,Stable
7.0,5,15,3,79,5810,Stable
7.0,3,48,5,76,8472,Stable
7.1,8,47,7,77,6748,Stable
7.7,7,57,6,77,6007,Improving
7.3,4,64,4,78,7438,Improving
7.2,7,25,5,84,6471,Stable
7.5,4,56,3,74,7735,Improving
6.1,4,69,10,83,8859,Declining
9.0,3,44,1,65,5834,Improving
7.8,7,39,9,81,6008,Stable
6.1,9,13,7,82,4430,Declining
8.9,8,64,4,69,7937,Improving
7.5,7,10,2,76,4002,Improving
7.2,5,37,6,80,6984,Stable
6.3,3,42,6,80,7631,Declining
7.2,4,70,9,86,7419,Declining
7.0,5,10,7,79,4397,Declining
7.2,6,58,7,81,6913,Stable
5.8,4,27,6,87,4673,Declining
9.0,7,69,3,71,10042,Improving
7.2,6,55,4,76,7892,Improving
7.8,5,36,10,84,6342,Declining
5.6,6,87,7,74,10581,Stable
5.7,8,49,1,72,8706,Improving
6.9,9,26,4,67,11388,Improving
6.0,6,56,6,81,8062,Stable
5.5,5,52,10,85,5210,Declining
5.4,5,91,5,80,10813,Stable
6.6,4,77,5,76,10216,Stable
7.6,10,26,7,84,5887,Improving
6.2,6,47,5,80,6281,Stable
8.8,5,26,5,84,5015,Improving
6.2,7,51,3,76,8526,Improving
8.6,5,34,6,75,7144,Stable
6.6,4,52,6,81,5984,Declining
6.9,7,85,8,74,11401,Improving
6.1,3,39,7,85,5465,Declining
5.8,4,14,4,83,3213,Declining
7.7,7,90,2,71,11703,Improving
4.6,5,43,5,85,7905,Declining
7.9,7,51,3,70,8565,Improving
6.3,8,38,4,77,6158,Improving
6.9,7,66,1,72,9239,Improving
6.4,6,21,7,83,3948,Declining
4.9,2,41,7,92,4478,Declining
5.7,10,48,9,91,8709,Stable
4.6,3,10,5,89,4164,Declining
9.0,7,24,8,78,4390,Stable
7.0,8,37,2,73,8004,Improving
4.6,5,42,1,82,5916,Stable
4.6,7,62,7,83,6917,Declining
6.9,1,10,6,77,2122,Declining
6.7,6,49,2,68,7063,Improving
6.7,6,41,6,81,5184,Stable
5.8,7,68,5,80,7686,Improving
5.9,8,64,10,79,9870,Declining
7.9,5,49,7,83,8807,Stable
5.7,8,32,8,85,7750,Declining
6.0,6,76,5,74,11926,Improving
5.3,5,41,3,78,7323,Stable
5.6,7,57,4,68,6948,Stable
6.9,6,19,10,85,5096,Declining
7.6,9,48,8,83,7827,Improving
9.0,5,62,7,81,7486,Improving
7.9,3,34,2,75,6694,Improving
6.6,5,10,8,76,3247,Declining
8.8,2,52,5,75,5995,Stable
7.1,6,52,3,71,8565,Improving
7.3,9,34,4,82,6857,Improving
6.8,2,38,6,74,5295,Declining
5.0,8,68,7,85,8084,Stable
6.6,6,63,5,83,8343,Improving
7.3,2,36,6,82,4522,Declining
6.5,5,36,7,77,6813,Declining
5.5,6,45,4,84,7314,Stable
6.9,5,61,4,73,8647,Improving
8.4,7,60,10,82,7273,Stable
6.7,7,60,6,81,9058,Improving
8.1,4,35,6,80,5702,Stable
6.6,5,20,9,85,5728,Declining
5.0,5,57,6,79,8673,Declining
8.3,8,46,6,73,7217,Improving
6.6,8,49,5,75,7706,Improving
6.5,6,48,1,75,7119,Improving
5.9,9,43,1,80,6224,Improving
7.4,6,54,1,69,7610,Improving
7.0,5,50,8,82,5238,Declining
8.8,6,40,5,71,6345,Improving
9.0,9,15,3,76,6754,Improving
6.3,2,10,4,81,2387,Declining
6.0,5,39,2,71,7436,Stable
5.6,2,63,10,85,6682,Declining
6.4,3,63,2,77,7021,Stable
7.1,4,16,5,75,3064,Declining
8.5,4,33,9,81,5158,Declining
4.5,6,38,3,80,5720,Declining
6.6,5,55,7,73,7536,Stable
7.0,3,57,5,78,7488,Stable
6.5,3,56,7,86,6982,Declining
7.1,1,25,7,85,5341,Declining
7.0,3,47,3,74,7768,Stable
5.1,5,32,7,77,6330,Declining
7.5,6,41,3,72,7526,Improving
6.8,7,61,5,73,9382,Improving
5.9,7,58,5,72,8747,Stable
5.4,5,36,7,84,4785,Declining
4.7,9,72,6,81,9557,Stable
5.6,10,63,3,74,9107,Improving
6.3,7,68,4,83,9279,Improving
8.1,8,40,6,76,8181,Improving
7.3,3,52,7,80,6284,Declining
5.9,7,63,2,76,9621,Improving
6.3,9,54,5,76,8281,Improving
5.6,6,52,6,79,7676,Declining
7.6,6,32,7,78,4685,Stable
6.7,9,76,6,80,8192,Improving
7.3,6,57,4,69,10150,Improving
8.2,7,26,1,74,6844,Improving
6.2,4,33,6,79,5928,Declining
8.2,3,16,5,74,4436,Stable
7.2,7,75,8,82,9278,Improving
4.8,4,62,4,81,7209,Declining
6.7,10,26,2,74,6525,Improving
6.1,6,17,6,78,4457,Declining
6.2,4,57,7,80,6183,Declining
8.2,7,30,7,83,4399,Stable
6.8,3,22,6,82,3944,Declining
5.9,5,46,7,87,6343,Declining
4.7,6,46,7,90,6701,Declining
7.4,1,35,8,86,4364,Declining
7.2,10,27,1,76,6526,Improving
6.3,6,55,6,76,7381,Stable
4.5,9,50,8,85,7730,Declining
7.1,7,50,6,86,7076,Improving
6.0,1,54,3,69,7306,Declining
6.6,7,44,6,76,8060,Stable
6.0,6,54,8,79,7003,Declining
6.7,7,37,8,87,5790,Declining
6.7,6,43,2,76,6828,Improving
6.1,4,47,7,83,4132,Declining
7.1,7,41,4,75,6631,Improving
8.2,6,23,3,78,5527,Improving
6.9,6,47,3,69,7978,Improving
7.5,6,16,4,77,4008,Stable
5.1,5,41,6,88,6070,Declining
6.7,7,54,5,76,8273,Improving
6.2,6,10,7,92,3211,Declining
6.2,5,26,4,77,5144,Declining
7.7,5,38,6,80,5663,Stable
7.8,4,49,7,78,7453,Stable
8.2,3,22,5,83,4608,Stable
5.5,7,34,6,82,5464,Declining
6.8,9,10,7,85,3517,Stable
7.7,6,56,10,85,7355,Stable
5.6,4,17,8,81,3391,Declining
8.2,7,24,7,81,4788,Stable
7.9,5,47,9,84,5586,Stable
7.0,3,28,5,84,4615,Declining
6.7,8,57,5,74,10022,Improving
6.8,7,45,6,77,7090,Stable
8.4,5,26,7,86,6400,Stable
7.8,8,107,5,75,10002,Improving
7.5,5,51,4,69,6707,Improving
7.2,4,37,9,84,4213,Declining
4.8,9,70,6,88,10476,Stable
6.7,8,68,4,75,9401,Improving
5.8,3,48,4,81,7077,Declining
7.9,10,19,4,73,6644,Improving
8.3,4,65,9,65,9954,Stable
7.7,8,72,4,89,7897,Improving
7.1,6,87,6,73,9602,Improving
7.7,7,35,6,81,6344,Improving
8.8,9,82,7,72,10134,Improving
5.8,6,45,9,83,5630,Declining
6.5,2,61,9,84,7328,Declining
5.9,7,26,5,79,5701,Stable
7.3,4,44,2,71,7248,Improving
8.0,7,29,2,77,7340,Improving
7.3,6,23,7,84,5517,Declining
9.0,4,26,5,73,5687,Stable
5.8,4,59,5,79,8371,Declining
5.5,4,42,8,79,5700,Declining
7.2,6,34,4,75,6422,Improving
6.3,7,77,7,81,9998,Stable
4.9,7,31,7,86,6887,Declining
6.6,3,81,10,77,9826,Declining
8.8,9,22,4,71,3943,Improving
5.1,7,47,6,86,7627,Declining
7.9,5,21,8,84,3544,Declining
5.5,6,35,7,86,5925,Declining
8.4,6,83,8,77,11406,Improving
8.3,6,75,4,67,10619,Improving
5.5,3,74,8,76,8966,Declining
6.3,8,89,6,74,10153,Improving
5.7,7,10,7,90,5277,Declining
6.6,6,57,5,81,8799,Stable
7.0,9,29,6,76,4113,Improving
6.2,6,11,7,79,3019,Declining
8.0,4,42,9,78,5644,Declining
6.0,4,40,8,86,3919,Declining
6.7,9,51,6,81,7087,Improving
6.9,7,45,4,78,8172,Improving
6.0,8,57,1,70,7782,Improving
7.9,5,75,4,69,9167,Improving
6.4,8,69,8,79,7628,Stable
5.4,10,42,7,78,6869,Stable
7.0,5,31,9,82,6045,Declining
6.9,6,56,6,73,6532,Stable
7.3,6,48,3,73,8473,Improving
6.4,5,70,5,76,9457,Stable
6.1,9,51,8,79,7343,Stable
7.2,8,35,4,71,7913,Improving
7.1,7,63,8,76,8492,Stable
5.2,6,21,9,84,3235,Declining
6.7,8,25,8,83,5287,Declining
5.0,6,48,5,84,7832,Declining
7.6,6,47,5,75,6039,Improving
6.0,2,29,5,81,2696,Declining
6.9,6,43,9,83,6611,Declining
8.2,6,79,3,71,10562,Improving
8.6,4,33,4,79,6849,Improving
7.1,9,32,8,82,6832,Stable
7.1,7,83,4,75,9066,Improving
7.0,8,43,4,74,7966,Improving
6.6,7,58,5,73,8150,Improving
8.5,6,47,6,75,7532,Improving
6.2,7,10,9,92,2612,Declining
7.8,9,42,7,78,6688,Improving
7.1,6,44,7,75,6747,Stable
6.7,6,75,6,77,8456,Improving
8.7,7,33,5,74,5720,Improving
8.3,10,81,7,78,9600,Improving
5.7,7,62,4,82,7788,Improving
7.3,6,77,5,68,10327,Improving
9.0,7,28,2,75,6298,Improving
7.2,6,22,5,81,4947,Stable
8.3,5,15,4,77,5470,Stable
7.4,5,37,4,77,7555,Stable
8.1,9,34,3,71,7871,Improving
8.7,6,41,8,81,6010,Stable
4.8,10,73,8,82,10797,Stable
6.7,5,50,8,80,4876,Declining
5.3,7,43,6,84,7812,Declining
7.0,5,24,3,76,4625,Stable
4.8,8,91,5,77,10299,Improving
7.0,6,41,5,79,9211,Stable
6.7,9,54,4,79,7857,Improving
5.8,7,34,5,81,6222,Stable
6.7,6,11,6,75,3652,Declining
5.7,9,61,3,75,7730,Improving
5.8,5,69,5,74,9324,Stable
6.6,4,56,1,66,7819,Improving
6.4,10,50,2,75,9028,Improving
8.0,7,36,7,78,6388,Stable
6.3,3,22,6,92,3754,Declining
6.5,6,29,4,71,5758,Stable
7.5,7,30,8,88,5607,Stable
5.8,6,72,8,82,8335,Declining
8.7,7,10,8,81,3563,Stable
7.3,7,22,9,80,4369,Declining
5.4,6,78,4,73,8790,Improving
7.0,9,64,4,82,9145,Improving
7.5,6,80,9,84,9332,Stable
9.0,5,66,8,83,8596,Improving
5.3,4,65,7,87,7145,Declining
6.0,1,28,5,76,3027,Declining
6.4,5,47,4,82,7256,Stable
5.7,7,95,7,72,10775,Improving
4.5,5,10,3,83,4881,Declining
7.6,6,25,6,84,4611,Stable
6.1,6,35,6,78,6515,Declining
6.1,8,56,5,78,7593,Improving
5.9,6,29,3,75,5949,Stable
7.8,8,62,4,73,8646,Improving
4.9,4,10,7,91,1500,Declining
6.3,7,29,8,88,4968,Declining
7.0,8,54,5,83,8814,Improving
5.6,7,13,6,83,3843,Declining
5.5,4,32,6,77,6224,Declining
5.5,4,23,6,84,5483,Declining
8.6,6,38,2,70,7681,Improving
6.2,8,29,2,76,6995,Improving
7.0,4,56,2,70,6078,Improving
4.7,6,62,7,91,6527,Declining
6.7,6,10,6,85,4374,Declining
5.8,5,31,7,80,5184,Declining
6.2,6,31,6,79,4302,Declining
6.2,5,79,4,78,10105,Improving
5.4,10,46,7,82,9236,Stable
7.1,5,67,7,76,7374,Stable
5.3,3,69,3,79,8245,Stable
6.9,6,44,4,76,7008,Improving
8.5,6,24,7,74,5113,Stable
5.4,3,68,4,73,8454,Declining
6.5,9,12,9,71,5081,Declining
5.2,6,50,7,84,6469,Declining
7.9,1,41,7,76,4779,Declining
6.1,7,31,7,90,6152,Declining
6.7,2,50,7,84,7752,Declining
7.5,5,73,6,86,7856,Improving
7.9,6,69,7,85,6362,Improving
7.0,4,67,8,74,6982,Declining
6.7,3,61,1,77,7085,Improving
7.2,5,15,2,74,3917,Stable
6.6,5,31,4,78,5812,Stable
5.9,5,41,1,74,7374,Improving
5.8,4,62,8,91,8073,Declining
6.4,7,68,9,82,8999,Stable
5.5,6,52,5,81,7720,Stable
7.3,7,53,7,81,6413,Stable
6.6,4,47,8,87,5618,Declining
7.8,8,58,6,80,9141,Improving
7.1,8,10,5,83,4133,Stable
8.4,9,36,8,84,7599,Improving
5.5,6,32,2,74,5904,Stable
7.1,6,18,5,76,4224,Stable
6.1,6,27,5,79,6489,Declining
6.7,5,53,10,87,6695,Declining
6.6,7,83,6,78,8373,Improving
5.5,8,29,4,84,7588,Stable
7.5,4,49,6,81,6544,Stable
6.2,7,56,3,80,11772,Improving
5.7,5,50,7,82,6579,Declining
7.0,7,61,5,73,9130,Improving
8.9,7,20,6,83,5512,Improving
7.8,1,44,6,79,5947,Declining
8.7,4,27,10,80,4173,Declining
7.0,10,41,10,87,5791,Stable
6.7,4,56,3,83,6700,Stable
7.9,5,65,6,77,7981,Improving
7.8,3,27,5,84,3378,Stable
5.9,8,82,8,82,12367,Stable
5.0,7,19,6,80,5735,Declining
7.3,7,61,4,72,9919,Improving
6.6,7,19,7,80,4098,Declining
6.8,3,38,2,70,5986,Stable
7.2,6,28,6,78,5009,Stable
8.1,5,57,8,82,7031,Stable
6.9,7,43,7,83,5660,Stable
6.8,8,93,7,76,11836,Improving
8.3,7,34,9,82,4783,Stable
6.4,8,77,6,73,9985,Improving
5.8,5,56,1,79,8864,Improving
7.3,5,45,2,74,7490,Improving
5.9,8,20,4,75,5668,Stable
6.8,6,78,9,80,8747,Stable
6.8,5,64,5,80,7952,Stable
4.5,5,37,5,85,6017,Declining
6.3,6,46,5,76,6624,Stable
9.0,9,51,9,79,8447,Improving
8.3,4,30,4,71,4419,Stable
6.4,8,21,10,82,4351,Declining
8.2,3,10,9,82,1500,Declining
4.8,8,85,3,73,11726,Improving
6.3,6,10,6,79,4814,Declining
7.4,6,28,8,82,4002,Declining
8.4,5,63,2,67,8628,Improving
6.0,7,34,6,81,6579,Stable
6.4,5,36,9,87,5707,Declining
6.7,8,35,10,82,6989,Declining
5.3,8,22,5,81,6013,Declining
4.6,5,58,3,76,6430,Stable
5.3,7,81,6,74,11074,Stable
6.9,7,48,10,89,5931,Declining
7.0,6,31,5,81,4819,Stable
7.5,4,25,3,79,5789,Stable
7.5,6,14,5,81,3843,Stable
6.4,7,55,2,77,6305,Improving
8.9,7,67,9,81,7281,Improving
5.4,8,75,7,79,8805,Stable
5.6,4,29,6,85,4156,Declining
6.4,7,66,7,75,10142,Stable
8.3,4,74,3,78,2353,Improving
7.1,6,94,1,68,11662,Improving
5.5,6,35,3,81,6292,Stable
6.4,7,58,6,80,8668,Stable
9.0,7,47,6,80,5979,Improving
6.6,8,26,5,77,6126,Stable
7.9,4,46,1,72,7427,Improving
6.1,5,67,7,76,9203,Stable
7.0,2,55,6,80,6373,Declining
8.1,6,81,4,76,9865,Improving
4.5,6,85,8,89,10348,Declining
8.9,3,27,9,80,5502,Declining
7.9,3,12,3,76,3700,Stable
7.0,6,41,2,74,7387,Improving
5.6,5,15,9,82,2303,Declining
6.6,6,71,8,76,9060,Stable
5.0,4,30,1,73,8041,Declining
6.6,5,40,7,84,6528,Declining
5.6,6,40,4,75,6573,Stable
6.9,3,60,9,84,6274,Declining
7.8,4,58,4,78,5836,Improving
7.2,9,75,5,76,9053,Improving
7.8,7,60,9,75,5508,Stable
8.4,7,48,6,76,6852,Improving
7.4,7,42,5,76,7868,Improving
7.5,9,13,8,76,11975,Stable
8.5,5,65,8,81,8327,Improving
5.7,3,54,6,85,5994,Declining
7.2,7,40,4,71,7924,Improving
5.2,6,38,1,75,8232,Stable
6.7,10,68,2,81,10398,Improving
6.1,6,26,6,76,5417,Declining
7.3,5,95,10,80,10539,Stable
5.0,6,32,4,81,7762,Declining
5.6,5,62,6,85,7025,Declining
6.8,9,26,5,81,6180,Improving
7.1,6,86,4,73,10261,Improving
7.1,7,42,5,80,7067,Improving
5.5,7,51,7,92,8520,Declining
6.9,9,10,6,73,3473,Stable
6.4,6,42,8,80,7389,Declining
6.4,6,55,7,77,7486,Stable
5.7,9,70,1,74,10659,Improving
6.3,6,14,4,80,5209,Stable
4.5,7,57,10,86,8530,Declining
6.4,7,102,5,71,12931,Improving
9.0,4,96,7,81,10078,Improving
8.0,5,28,7,85,5765,Stable
4.5,8,32,6,93,5479,Declining
7.3,5,54,7,79,4782,Stable
6.8,4,49,3,68,7450,Stable
4.8,4,30,6,82,6384,Declining
5.3,6,88,6,76,10558,Stable
7.5,5,10,2,83,3878,Stable
7.6,5,46,3,75,6439,Improving
6.8,6,52,8,86,7017,Stable
6.6,8,50,4,81,8201,Improving
5.3,7,30,3,80,5664,Stable
4.9,7,14,6,75,2461,Declining
4.8,9,31,6,86,5569,Declining
5.6,8,87,7,80,10489,Improving
7.0,7,29,8,81,5912,Declining
5.8,6,53,5,75,8303,Stable
8.2,7,27,7,78,6310,Stable
7.1,9,38,3,76,7627,Improving
5.4,8,51,7,80,7822,Stable
8.1,5,71,4,71,9292,Improving
5.3,2,46,4,79,4902,Declining
8.9,7,45,6,76,5756,Improving
5.4,5,32,5,82,6452,Declining
6.7,8,45,3,84,7355,Improving
7.3,6,68,2,75,7442,Improving
6.3,6,21,2,74,3863,Stable
7.7,10,74,9,79,9565,Improving
7.3,7,54,4,81,8531,Improving
6.7,7,60,6,79,8448,Improving
7.3,10,33,7,78,6433,Improving
7.9,5,32,5,76,4057,Stable
7.6,2,59,1,67,7655,Improving
4.5,9,17,7,84,4836,Declining
6.7,5,45,10,86,5367,Declining
5.7,6,37,9,86,5820,Declining
5.4,8,67,2,62,8909,Improving
7.6,2,72,5,75,7234,Stable
6.8,2,50,7,72,4432,Declining
5.3,7,58,2,77,9102,Improving
5.2,10,33,6,84,5448,Stable
8.4,6,23,6,77,5668,Stable
7.6,3,23,3,76,6964,Stable
7.7,7,98,7,71,10996,Improving
6.0,4,24,7,93,5006,Declining
7.6,7,34,5,79,6161,Improving
7.0,4,30,4,76,7675,Stable
8.8,4,59,4,72,6314,Improving
7.1,5,22,3,76,5265,Stable
7.4,3,47,4,69,6472,Stable
7.1,5,30,7,77,4452,Declining
4.7,10,47,10,93,7801,Declining
7.8,7,70,7,71,8438,Improving
4.8,7,78,9,80,8475,Declining
6.1,7,62,3,80,9025,Improving
7.3,7,32,5,78,4144,Improving
6.2,4,25,8,93,3213,Declining
5.7,5,39,6,80,6020,Declining
8.1,5,27,5,81,4982,Stable
6.9,5,10,9,81,3001,Declining
5.1,7,66,2,78,9718,Improving
4.5,5,84,3,77,10096,Stable
7.8,10,37,3,69,6914,Improving
5.8,5,27,4,80,5471,Declining
8.3,8,100,10,74,11243,Improving
7.0,8,16,5,78,6307,Stable
7.5,5,61,8,81,9548,Stable
7.2,6,30,4,71,6186,Stable
5.2,7,32,6,87,6784,Declining
5.8,5,37,7,87,5408,Declining
7.3,5,28,9,84,3777,Declining
7.5,6,43,3,74,7260,Improving
4.5,4,48,9,85,6628,Declining
8.4,5,10,10,83,2304,Declining
6.3,5,61,7,76,6203,Stable
6.6,2,34,5,82,4954,Declining
4.5,4,45,5,81,7073,Declining
6.1,6,36,2,77,7026,Stable
7.1,6,70,3,69,8839,Improving
7.6,3,93,8,80,11936,Stable
6.5,6,26,8,89,6426,Declining
7.1,1,38,5,70,4531,Declining
4.5,10,22,7,83,4590,Declining
7.3,4,25,4,75,4893,Stable
7.8,5,35,5,82,6874,Stable
6.4,3,22,3,81,4983,Declining
5.7,8,14,3,70,5147,Stable
4.9,3,12,7,87,3090,Declining
6.6,7,78,8,86,9667,Stable
7.2,6,10,1,75,4522,Improving
7.6,7,29,4,79,5060,Improving
6.3,8,28,5,78,5374,Stable
7.8,6,10,4,77,2865,Stable
4.6,4,25,3,79,5684,Declining
5.3,6,28,7,89,4565,Declining
5.2,7,39,4,74,7618,Stable
5.5,3,29,5,80,5405,Declining
7.0,5,57,3,72,7307,Improving
6.9,8,40,7,73,10782,Stable
7.4,7,10,3,74,4216,Improving
4.6,6,77,2,79,10316,Improving
5.9,5,32,4,88,7388,Declining
7.0,7,37,5,81,6867,Stable
4.5,5,39,6,81,6205,Declining
6.1,5,38,8,79,7156,Declining
6.6,3,51,5,77,8257,Declining
6.1,6,32,4,80,6438,Stable
6.8,8,41,6,81,7526,Stable
7.7,5,22,8,78,4936,Declining
7.5,7,43,1,70,7904,Improving
7.0,8,37,5,74,5872,Improving
